,total_points,goals_scoredALL,assistsALL,total_pointsALL,minutesALL,goals_concededALL,creativityALL,influenceALL,threatALL,bonusALL,bpsALL,ict_indexALL,clean_sheetsALL,red_cardsALL,yellow_cardsALL,now_costALL,GW,opponent_strength_overall,opponent_strength_attack,opponent_strength_defence,AV_assists_past5,AV_bonus_past5,AV_bps_past5,AV_clean_sheets_past5,AV_creativity_past5,AV_goals_conceded_past5,AV_goals_scored_past5,AV_ict_index_past5,AV_influence_past5,AV_minutes_past5,AV_threat_past5,AV_total_points_past5,AV_value_past5,team_strength_rank,opponent_strength_rank
33691,0,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,10,1280,1210,1355,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.05,0.5,5.0,0.0,0.25,45.0,14,6
33692,1,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,13,1055,1050,1060,0.0,0.0,3.8,0.0,0.08,0.8,0.0,0.54,5.24,22.0,0.0,0.4,45.0,14,11
33693,0,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,5,1370,1350,1390,0.0,0.0,3.2,0.0,0.08,0.6,0.0,0.5,4.84,18.0,0.0,0.2,45.0,14,3
33694,0,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,25,1170,1110,1230,0.0,0.0,3.2,0.0,0.08,0.6,0.0,0.5,4.84,18.0,0.0,0.2,45.0,14,5
33695,0,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,11,1030,1045,1020,0.0,0.0,3.2,0.0,0.08,0.6,0.0,0.5,4.84,18.0,0.0,0.2,45.0,14,20
33696,0,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,24,1100,1055,1150,0.0,0.0,3.2,0.0,0.08,0.6,0.0,0.5,4.84,18.0,0.0,0.2,45.0,14,13
33697,0,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,17,1100,1055,1150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,14,10
33698,0,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,4,1070,1080,1060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,14,16
33699,0,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,26,1040,1020,1060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,14,20
33700,2,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,19,1100,1110,1090,0.0,0.0,3.2,0.0,0.1,0.2,0.0,0.46,4.56,18.0,0.0,0.4,45.0,14,13
33701,0,0,0,6,380,8,2.5,70.8,0,0,56,7.4,0,0,1,45,20,1100,1125,1080,0.0,0.0,3.2,0.0,0.1,0.2,0.0,0.46,4.56,18.0,0.0,0.4,45.0,14,15
