id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x,team_strength_rank,opponent_strength_rank,opponent_strength_overall,opponent_strength_attack,opponent_strength_defence
761,Elijah Campbell,40,DEF,Everton,Burnley,2024-04-06T14:00:00Z,TRUE,Everton,15,19,1050,1050,1050
91,Ellery Balcombe,39,GKP,Aston Villa,Brentford,2024-04-06T14:00:00Z,FALSE,Brentford,13,4,1160,1140,1180
403,Elliot Anderson,42,MID,Fulham,Newcastle,2024-04-06T14:00:00Z,FALSE,Newcastle,6,11,1055,1050,1060
337,Elliot Thorpe,45,MID,Luton,Bournemouth,2024-04-06T14:00:00Z,TRUE,Luton,18,12,1100,1130,1075
264,Ellis Simms,45,FWD,Everton,Burnley,2024-04-06T14:00:00Z,TRUE,Everton,15,19,1050,1050,1050
497,Emerson Leite de Souza Junior,43,DEF,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,TRUE,Spurs,5,17,1100,1125,1080
532,Emerson Palmieri dos Santos,44,DEF,Wolves,West Ham,2024-04-06T14:00:00Z,FALSE,West Ham,10,14,1100,1085,1115
417,Emil Krafth,44,DEF,Fulham,Newcastle,2024-04-06T14:00:00Z,FALSE,Newcastle,6,11,1055,1050,1060
22,Emile Smith Rowe,53,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,FALSE,Arsenal,2,9,1100,1070,1135
74,Emiliano Marcondes,43,MID,Luton,Bournemouth,2024-04-06T14:00:00Z,FALSE,Bournemouth,12,18,1055,1020,1090
443,Emmanuel Dennis,48,FWD,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,FALSE,Nott'm Forest,17,5,1170,1110,1230
156,Enock Agyei,42,MID,Everton,Burnley,2024-04-06T14:00:00Z,FALSE,Burnley,19,15,1095,1125,1065
375,Eric Bailly,40,DEF,Man Utd,Liverpool,2024-04-07T14:30:00Z,TRUE,Man Utd,7,3,1370,1350,1390
496,Eric Dier,42,DEF,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,TRUE,Spurs,5,17,1100,1125,1080
355,Erling Haaland,143,FWD,Crystal Palace,Man City,2024-04-06T11:30:00Z,FALSE,Man City,1,16,1070,1080,1060
185,Ethan Ampadu,40,DEF,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,FALSE,Chelsea,8,20,1030,1045,1020
684,Ethan Brierley,45,MID,Aston Villa,Brentford,2024-04-06T14:00:00Z,FALSE,Brentford,13,4,1160,1140,1180
449,Ethan Horvath,43,GKP,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,FALSE,Nott'm Forest,17,5,1170,1110,1230
772,Ethan Nwaneri,45,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,FALSE,Arsenal,2,9,1100,1070,1135
112,Ethan Pinnock,45,DEF,Aston Villa,Brentford,2024-04-06T14:00:00Z,FALSE,Brentford,13,4,1160,1140,1180
132,Evan Ferguson,57,FWD,Brighton,Arsenal,2024-04-06T16:30:00Z,TRUE,Brighton,9,2,1365,1370,1360
48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,Brentford,2024-04-06T14:00:00Z,TRUE,Aston Villa,4,13,1100,1055,1150
813,Fabian Mrozek,40,GKP,Man Utd,Liverpool,2024-04-07T14:30:00Z,FALSE,Liverpool,3,7,1125,1130,1120
296,Fabio Henrique Tavares,50,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,FALSE,Liverpool,3,7,1125,1130,1120
125,Facundo Buonanotte,47,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,TRUE,Brighton,9,2,1365,1370,1360
394,Facundo Pellistri Rebollo,42,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,TRUE,Man Utd,7,3,1370,1350,1390
445,Felipe Augusto de Almeida Monteiro,44,DEF,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,FALSE,Nott'm Forest,17,5,1170,1110,1230
653,Femi Seriki,39,DEF,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,TRUE,Sheffield Utd,20,8,1190,1150,1230
670,Filip Marschall,40,GKP,Aston Villa,Brentford,2024-04-06T14:00:00Z,TRUE,Aston Villa,4,13,1100,1055,1150
531,Flynn Downes,50,MID,Wolves,West Ham,2024-04-06T14:00:00Z,FALSE,West Ham,10,14,1100,1085,1115
1,Folarin Balogun,44,FWD,Brighton,Arsenal,2024-04-06T16:30:00Z,FALSE,Arsenal,2,9,1100,1070,1135
821,Franco Umeh-Chibueze,45,FWD,Crystal Palace,Man City,2024-04-06T11:30:00Z,TRUE,Crystal Palace,16,1,1365,1360,1370
111,Frank Onyeka,49,MID,Aston Villa,Brentford,2024-04-06T14:00:00Z,FALSE,Brentford,13,4,1160,1140,1180
498,Fraser Forster,38,GKP,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,TRUE,Spurs,5,17,1100,1125,1080
329,Fred Onyedinma,50,MID,Luton,Bournemouth,2024-04-06T14:00:00Z,TRUE,Luton,18,12,1100,1130,1075
381,Frederico Rodrigues de Paula Santos,50,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,TRUE,Man Utd,7,3,1370,1350,1390
8,Gabriel Fernando de Jesus,77,FWD,Brighton,Arsenal,2024-04-06T16:30:00Z,FALSE,Arsenal,2,9,1100,1070,1135
12,Gabriel Martinelli Silva,76,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,FALSE,Arsenal,2,9,1100,1070,1135
330,Gabriel Osho,44,DEF,Luton,Bournemouth,2024-04-06T14:00:00Z,TRUE,Luton,18,12,1100,1130,1075
418,Garang Kuol,45,MID,Fulham,Newcastle,2024-04-06T14:00:00Z,FALSE,Newcastle,6,11,1055,1050,1060
71,Gavin Kilkenny,43,MID,Luton,Bournemouth,2024-04-06T14:00:00Z,FALSE,Bournemouth,12,18,1055,1020,1090
473,George Baldock,38,DEF,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,TRUE,Sheffield Utd,20,8,1190,1150,1230
829,George Earthy,45,MID,Wolves,West Ham,2024-04-06T14:00:00Z,FALSE,West Ham,10,14,1100,1085,1115
636,George Shelvey,39,GKP,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,FALSE,Nott'm Forest,17,5,1170,1110,1230
541,Gianluca Scamacca,60,FWD,Wolves,West Ham,2024-04-06T14:00:00Z,FALSE,West Ham,10,14,1100,1085,1115
503,Giovani Lo Celso,48,MID,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,TRUE,Spurs,5,17,1100,1125,1080
801,Giovanni Reyna,47,MID,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,FALSE,Nott'm Forest,17,5,1170,1110,1230
438,Giulian Biancone,39,DEF,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,FALSE,Nott'm Forest,17,5,1170,1110,1230
